no ,id_topeng ,nama_topeng,tahun ,lokasi ,alamat lengkap,deskripsi,latitude,longitude ,Image 
21,TP021,"Barong Lembu, Bull",1900,"National Museum of Indonesia, Jakarta",,"This large and impressive mask with a scarlet red skin tone, large golden horns, a black nose and enormous eyes, is one of the masterpieces of the Indonesian National Museum in Jakarta. Unseen for decades, it was only recently discovered during the renovation of the this august institution, which was founded in the 18th century. It is likely that it was made at the same time and by the same artist as the Elephant Barong on the next two pages. As symbols of courage, tenacity and nobility for which reason the wadah, ceremonial containers to carry the deceased aristocrats to cremation grounds, are often in the shape of bulls.",-6.176424,106.821815,TP021.jpg
22,TP022,Tiger Barong ,1900,"Collection Nationaal Museum van Wereldculturen, Leiden",,"Balinese depictions of tigers, which were native to the island, are usually quite accurate. As a personification of a sacred mythological animal, images of singa are often more fanciful. This turn-of-the-century mask shows all the hallmarks of courtly patronage, in particular the rich use of costly cinnabar red and gold leaf. Like other animal barong, the tiger appears in processions at the end of the Galungan-Kuningan festival cycle, when performers wander through the village seeking alms for their efforts. Unlike Barong Ket dances, these processions are more like pantomime, and are especially enjoyed by children.",52.164104,4.483984,TP022.jpg
23,TP023,Tiger Barong ,1937,"Museum Bali, Denpasar",,"This is another early Tiger Barong from Kuta, with traces of animal hair and gold leaf stripes. The small but sharp rows of teeth resemble those of the Tiger Barong on the opposite page, which was donated to the museum by Marianne van Wessem in 1937.",-8.657398,115.218579,TP023.jpg
24,TP024,Tiger Barong ,1930,"Museum Bali, Denpasar","Jl. Mayor Wisnu No.1, Dangin Puri, Kec. Denpasar Tim., Kota Denpasar, Bali 80232","With two erect ears rising up on either side of the crown and widely-spaced eyes, the red surface of this Tiger Barong is covered in decorative golden stripes resembling flames. It was sourced from Kuta Village by Marianne van Wessen, a wealthy Dutch heiress who was also the secretary of the Pita Maha, a Balinese union of artists. She obtained the mask with the aid of the legendary German musician and painter, Walter Spies.",-8.657398,115.218579,TP024.jpg
25,TP025,Tiger Barong ,1938,"Museum Bali, Denpasar","Jl. Mayor Wisnu No.1, Dangin Puri, Kec. Denpasar Tim., Kota Denpasar, Bali 80232","This Tiger Barong is dominated by huge eyes and a large, full-lipped mouth bristling with sharp teeth and fangs. Here the mask-maker has chosen to cover much of the surface of the face with black and white fur, making the mask more realistic and enhancing the sense of danger. ",-8.657398,115.218579,TP025.jpg
26,TP026,Tiger Barong ,1940,"Museum Bali, Denpasar","Jl. Mayor Wisnu No.1, Dangin Puri, Kec. Denpasar Tim., Kota Denpasar, Bali 80232","While depicting the same subject, each Tiger Barong found in the collection of the Museum Bali is a unique variation, demonstrating the distinct creativity of its maker. Here the artist has chosen to combine gold leaf stripes with animal fur, either by inserting bundles of hair through holes in the mask, or attaching animal hide to the mask's surface. In comparison to the Tiger Barongs on the previous page, this example is closer to the blocky shapes of Barong Ket. It was purchased from Rolf Neuhaus, one of two German brothers who set up an aquarium and art gallery on Sanur Beach before the Second World War.",-8.657398,115.218579,TP026.jpg
27,TP027,Tiger Barong ,1930,"Collection Nationaal Museum van Wereldculturen, Leiden",,"With a fierce yet amused grin, large round eyes and an open maw bristling with teeth and fangs, this Tiger Barong is from the village of Mas, just south of Ubud. Dominated by the priestly Brahmana class, Mas has been a center of mask-making and wood carving for centuries. This mask was exhibited and published (page 109) in Bali: Art, Ritual, Performance at the San Francisco Museum of Asian Art in 2010.",52.164104,4.483984,TP027.jpg
28,TP028,"Basuki, Naga Dragons, Anantaboga",1900,"Puri Gerenceng Palace, Denpasar ",,"Basuki and Anantaboga are primordial naga dragons, held sacred by Hindus and Buddhists. They are the rarest type of Barong masks. Both of these pairs were originally used a top huge kites (janggan) in the form of naga flown during the wind season, which lasts from July until September. The ones above are the creations of I Gusti Made Gede one of Bali's most acclaimed artists in the 19th and early 20th century. The second pair, to the right, were collected in Ubud. These mythological creatures play an important role in Balinese myth and religion. Bali itself is said to rest on the backs of a cosmic turtle, Bedawang Nala intertwined with the twisted bodies of Basuki and Anantaboga floating upon a cosmic ocean. Earthquakes are caused when the naga move suddenly. The pair also play a key role in the story of the churning of the ocean of milk to create the nectar of immortality when the gods and demons use them as ropes to stir the sea until the magical liquid, tirta amerta, appears.",-8.652978,115.211067,TP028.jpg
29,TP029,"Barong Naga Basuki, Vasuki",1930,"Collection Nationaal Museum van Wereldculturen, Leiden",,"Basuki and Anantaboga are primordial naga dragons, held sacred by Hindus and Buddhists. They are the rarest type of Barong masks. Both of these pairs were originally used a top huge kites (janggan) in the form of naga flown during the wind season, which lasts from July until September. The ones above are the creations of I Gusti Made Gede one of Bali's most acclaimed artists in the 19th and early 20th century. The second pair, to the right, were collected in Ubud. These mythological creatures play an important role in Balinese myth and religion. Bali itself is said to rest on the backs of a cosmic turtle, Bedawang Nala intertwined with the twisted bodies of Basuki and Anantaboga floating upon a cosmic ocean. Earthquakes are caused when the naga move suddenly. The pair also play a key role in the story of the churning of the ocean of milk to create the nectar of immortality when the gods and demons use them as ropes to stir the sea until the magical liquid, tirta amerta, appears.",52.164104,4.483984,TP029.jpg
30,TP030,"I gusti Ayu Bebed Luh, Ken Bebed",-,"Collection Nationaal Museum van Wereldculturen, Leiden",,"| Gusti Ayu Bebed Luh was the daughter the distinguished Majapahit minister, Ki Gusti Pinatih. She was betrothed to Gadjah Mada, the puissant prime minister of the Majapahit Empire, in an arranged marriage. As she was unable to bear him a child, Gadjah Mada took a second wife, Ni Luh Ayu Sekarini, the daughter of a high priest on Bali. After he returned to the Javanese capital, she remained on in Bali and unbeknownst to Gadjah Mada, bore him a son who she named Aria Bebed. When he came of age, she finally told him who his father was. Later he would join the Majapahit court and became a local official in North Bali. There is a shrine (Prasasti Aria Bebed) dedicated to him in Bububan Village. Here, Gusti Ayu Bebed is depicted as a princess with a round face, white complexion and fine features befitting a proud character of aristocratic status.",52.164104,4.483984,TP030.jpg
31,TP031,"I Gusti Ayu Bebed Luh, Ida Ayu Bebed Luh",1930,"Museum of Puro Mangkunegaran, Solo ",,"With a perfect white complexion and a beauty mark on the left side, fine arched eyebrows, aquiline nose, ruby red lips and a golden diadem, I Gusti Ayu Bebed Luh is the epitome of a high caste beauty about whom several stories are told. The daughter of Ki Gusti Pinatih, a minister in the court, she would catch the eye of Gadjah Mada, who took her as his first wife. She is credited for having been one of his most important advisors over the years. Unable to bear children, her husband married another girl, Ni Luh Ayu Sekarini, during the Bali campaign who unknown to either of them gave birth to a boy, named Aria Bebed, in honor of I Gusti Ayu Bebed Luh. Sekarini would only reveal the name of his father after he came of age, whereupon he sat before the door of Gadjah Mada's palace and demanded to meet his father. After an interrogation, Gadjah Mada affirmed the veracity of his claim, acknowledged him as his son and appointed him to a position at the court.",-7.566756,110.823071,TP031.jpg
